Seconds,Stream,E4_Seconds,Value
1904-01-01 00:46:40.824661990,E4_Ibi,2024-06-28 14:05:07.799149990,0.6094031
1904-01-01 00:46:41.371562024,E4_Ibi,2024-06-28 14:05:08.346050024,0.5469003
1904-01-01 00:49:52.239782115,E4_Ibi,2024-06-28 14:08:19.214270115,0.562526
1904-01-01 00:49:52.849181910,E4_Ibi,2024-06-28 14:08:19.823669910,0.6094034
1904-01-01 00:49:53.302331944,E4_Ibi,2024-06-28 14:08:20.276819944,0.453146
1904-01-01 00:49:56.130582114,E4_Ibi,2024-06-28 14:08:23.105070114,0.6250288
1904-01-01 00:49:56.693111916,E4_Ibi,2024-06-28 14:08:23.667599916,0.562526
1904-01-01 00:49:57.302511950,E4_Ibi,2024-06-28 14:08:24.276999950,0.6094034
1904-01-01 00:49:57.833791991,E4_Ibi,2024-06-28 14:08:24.808279991,0.5312746
1904-01-01 00:49:58.474442025,E4_Ibi,2024-06-28 14:08:25.448930025,0.6406546
1904-01-01 00:49:58.958842059,E4_Ibi,2024-06-28 14:08:25.933330059,0.4843976
1904-01-01 00:49:59.630742093,E4_Ibi,2024-06-28 14:08:26.605230093,0.671906
1904-01-01 00:50:00.146391889,E4_Ibi,2024-06-28 14:08:27.120879889,0.5156488
1904-01-01 00:50:00.755801936,E4_Ibi,2024-06-28 14:08:27.730289936,0.6094034
1904-01-01 00:51:04.961891910,E4_Ibi,2024-06-28 14:09:31.936379910,0.5937777
1904-01-01 00:51:11.680962106,E4_Ibi,2024-06-28 14:09:38.655450106,0.5156488
1904-01-01 00:52:40.497571965,E4_Ibi,2024-06-28 14:11:07.472059965,0.3906429
1904-01-01 00:53:28.484171887,E4_Ibi,2024-06-28 14:11:55.458659887,0.3750174
1904-01-01 00:54:20.111562034,E4_Ibi,2024-06-28 14:12:47.086050034,0.5937774
1904-01-01 00:55:53.162741919,E4_Ibi,2024-06-28 14:14:20.137229919,0.5781519
1904-01-01 00:57:15.619692107,E4_Ibi,2024-06-28 14:15:42.594180107,0.6719062
1904-01-01 00:57:51.824491998,E4_Ibi,2024-06-28 14:16:18.798979998,0.343766
1904-01-01 00:57:52.137002011,E4_Ibi,2024-06-28 14:16:19.111490011,0.3125143
1904-01-01 00:58:39.154802103,E4_Ibi,2024-06-28 14:17:06.129290103,0.5156491
